APOGEE_ID,TEFF,TEFF_ERR,LOGG,LOGG_ERR,FE_H,FE_H_ERR,MG_FE,MG_FE_ERR,C_FE,C_FE_ERR,N_FE,N_FE_ERR,AL_FE,AL_FE_ERR,CA_FE,CA_FE_ERR,O_FE,O_FE_ERR,CE_FE,CE_FE_ERR,ND_FE,ND_FE_ERR,logAge,logAgeErr,age,KIC_ID,SNR,EVO_STATE
2M19242614+3648478,4673.952,1.366,2.728,0.003,-0.025,0.001,0.016,0.0017320508,0.015000001,0.0017320508,0.20500001,0.0017320508,0.179,0.0014142137,-0.023,0.0017320508,0.014,0.0017320508,-0.021999998,0.0014142137,0.214,0.0014142137,0.7582845876910226,0.045913505805666506,5.731715,1161618.0,481.7388,2.0
2M19222790+3711159,4434.094,0.454,2.64,0.001,0.169,0.001,0.020999998,,0.033999994,,0.277,,0.16100001,0.0014142137,0.0119999945,,0.003999993,,-0.262,0.0014142137,0.239,0.0014142137,0.5647898264601303,0.03344309534223,3.671046,1569823.0,808.0976,2.0
2M19242968+3711000,4876.44,3.597,2.699,0.007,-0.3,0.001,0.027999997,0.00244949,0.11900002,0.00244949,0.26900002,0.003,0.22100002,0.0014142137,0.04000002,0.00244949,-0.012999982,0.00244949,1.299,0.0014142137,-1.921,0.0022360682,0.1837750400307038,0.021562897742415224,1.526775,1572049.0,292.07498,2.0
2M19291057+3713306,5070.55,1.663,3.048,0.002,-0.063,0.001,-0.064,0.00244949,-0.18,0.00244949,0.361,0.00244949,0.118,0.0014142137,0.015000001,0.00244949,-0.062,0.00244949,0.17,0.0014142137,0.206,0.0014142137,-0.04337589553809931,0.034141309330226605,0.904949,1725190.0,823.413,2.0
2M19274515+3727100,4960.865,5.267,3.038,0.007,-0.002,0.001,-0.023,0.003,-0.21599999,0.003,0.461,0.003,0.237,0.0014142137,0.014,0.003,-0.057,0.00244949,-0.072000004,0.0014142137,0.009000001,0.0014142137,-0.018055968219310464,0.03501082379936474,0.959277,2016676.0,218.25378,2.0
2M19300833+3726004,4766.182,4.053,3.185,0.006,-0.106,0.001,0.059,0.00244949,0.16,0.00244949,0.253,0.003,0.060999997,0.0014142137,0.004999995,0.00244949,-0.012000002,0.00244949,-0.037999995,0.0014142137,0.707,0.0014142137,0.6360806923456037,0.07230352145079395,4.325942,2019396.0,220.30702,2.0
2M19062014+3730377,5075.507,13.289,3.111,0.018,-0.191,0.002,0.054999992,0.0069999998,-0.0059999973,0.007483315,0.35799998,0.008062257,0.314,0.0028284274,0.047999993,0.0069999998,0.054000005,0.0069999998,0.376,0.0028284274,-0.012999997,0.0028284274,-0.06464289906097694,0.06851726725223253,0.861702,2142405.0,112.28241,2.0
2M19233177+3731446,4830.564,5.825,2.48,0.012,-0.47,0.001,0.048999995,0.0037416576,-0.08699998,0.004358899,0.229,0.004358899,0.226,0.0014142137,0.043000013,0.0037416576,0.07699999,0.0037416576,0.07100001,0.0014142137,0.322,0.0014142137,0.4691781942887113,0.10513023226179743,2.94563,2157725.0,203.49352,2.0
2M19034464+3738547,4421.519,1.343,2.686,0.003,0.211,0.001,0.030000001,0.0017320508,0.073000014,0.0017320508,0.35099998,0.0017320508,0.16600001,0.0014142137,0.023000002,,0.045000017,0.0017320508,-0.645,0.0014142137,0.185,0.0014142137,0.641032253927878,0.023968475858310016,4.375546,2282855.0,256.70538,2.0
2M19252964+3744385,4996.311,6.571,2.685,0.011,-0.467,0.001,0.062000006,0.0037416576,-0.030000001,0.004358899,0.30800003,0.0050990195,0.21000001,0.0014142137,0.06100002,0.0037416576,-0.023000002,0.004358899,-0.14599997,0.0022360682,0.375,0.0014142137,0.2791127739288846,0.09398242652689334,1.901572,2443035.0,222.75142,2.0
2M19062145+3750033,4816.63,2.563,2.679,0.005,-0.215,0.001,0.001000002,0.0017320508,-0.04699999,0.00244949,0.207,0.00244949,0.231,0.0014142137,0.033000007,0.0017320508,0.004000008,0.0017320508,0.074,0.0014142137,0.134,0.0014142137,0.4867334582665012,0.04109504060512942,3.067139,2556640.0,370.17917,2.0
2M19324627+3751249,4906.613,3.86,2.911,0.006,-0.033,0.001,-0.059,0.00244949,-0.20199999,0.003,0.306,0.003,0.127,0.0014142137,-0.026,0.003,-0.062,0.00244949,0.225,0.0014142137,0.029,0.0014142137,0.15604217864462258,0.012208105219597655,1.432327,2583884.0,283.2401,2.0
2M19044478+3757204,5065.39,7.381,3.081,0.01,-0.13,0.001,0.0119999945,0.0037416576,-0.117,0.0037416576,0.458,0.0037416576,0.23699999,0.0014142137,0.042999998,0.0037416576,0.003999993,0.0037416576,-0.03500001,0.0014142137,0.313,0.0014142137,-0.11751530740336605,0.056109392070359955,0.76293,2693967.0,183.4034,2.0
2M19064544+3754106,4840.583,6.37,2.655,0.012,-0.244,0.002,0.026000008,0.0041231057,-0.070999995,0.0041231057,0.218,0.0046904157,0.22500001,0.0022360682,0.07100001,0.0041231057,0.054000005,0.0041231057,-0.017999992,0.0028284274,0.179,0.0022360682,0.5715856283932608,0.08325894792176271,3.728942,2695592.0,163.87552,2.0
2M19192741+3801411,5064.806,1.689,3.128,0.002,-0.071,0.001,-0.019999996,0.00244949,-0.151,0.0033166248,0.27,0.0033166248,0.187,0.0014142137,0.056,0.00244949,-0.0029999986,0.00244949,0.137,0.0014142137,0.199,0.0014142137,-0.12032506492708647,0.07715042288313632,0.75801,2845610.0,869.83374,2.0
