APOGEE_ID,TEFF,TEFF_ERR,LOGG,LOGG_ERR,FE_H,FE_H_ERR,MG_FE,MG_FE_ERR,C_FE,C_FE_ERR,N_FE,N_FE_ERR,AL_FE,AL_FE_ERR,CA_FE,CA_FE_ERR,O_FE,O_FE_ERR,CE_FE,CE_FE_ERR,ND_FE,ND_FE_ERR,logAge,logAgeErr,age,KIC_ID,SNR,EVO_STATE
2M18510530+4842191,4972.373,10.651,3.213,0.016,-0.286,0.002,0.08500001,0.0053851646,0.08600001,0.006,0.002000004,0.0067082043,0.27600002,0.0028284274,0.05600001,0.0053851646,0.055000007,0.0053851646,0.11700001,0.0028284274,0.14600001,0.0028284274,0.9368600848808986,0.04283476326082746,8.646893,11122261.0,142.45378,1.0
2M19250937+3644599,4083.518,0.515,1.844,0.004,-0.32,0.001,0.27899998,0.0017320508,0.14099999,0.0017320508,0.151,0.00244949,0.378,0.0014142137,0.145,0.0017320508,0.257,0.0017320508,-0.15200001,0.0014142137,0.06099999,0.0014142137,1.1241950875764184,0.12694712937242603,13.310522,1027110.0,333.0511,1.0
2M19245791+3653298,4102.621,0.263,1.945,0.002,-0.035,0.001,0.141,0.0017320508,0.089,,0.253,0.0017320508,0.263,0.0014142137,0.026999999,,0.111,0.0017320508,-0.14400001,0.0014142137,0.195,0.0014142137,1.150362019636467,0.11387079845249104,14.137155,1162220.0,680.7577,1.0
2M19255838+3650557,4477.372,3.041,2.301,0.012,-0.442,0.002,0.283,0.0041231057,0.13,0.0041231057,0.148,0.0046904157,0.455,0.0028284274,0.183,0.0037416574,0.291,0.0041231057,-0.132,0.0028284274,-0.271,0.0028284274,0.49569985095033114,0.10229986119540589,3.131121,1163359.0,154.16248,1.0
2M19244352+3711034,5151.666,7.902,3.386,0.01,-0.188,0.002,-0.004000008,0.0041231057,0.008999988,0.0046904157,0.173,0.0053851646,0.144,0.0022360682,0.074999996,0.0041231057,0.026999995,0.0041231057,-0.012000009,0.0028284274,0.06599999,0.0028284274,0.4421682823553021,0.0413575539183579,2.768014,1572317.0,216.36685,1.0
2M19273427+3712219,4120.838,0.803,1.922,0.006,-0.224,0.001,0.257,0.00244949,0.143,0.00244949,0.245,0.003,0.311,0.0014142137,0.10700001,,0.231,0.00244949,-0.12199998,0.0014142137,-0.167,0.0014142137,1.140647893509846,0.14852636479447612,13.824451,1723191.0,220.24405,1.0
2M19255509+3726471,4204.964,0.586,1.887,0.004,-0.376,0.001,0.08899999,0.0017320508,-0.037,0.0017320508,0.15999998,0.00244949,0.23599999,0.0014142137,0.035999984,0.0017320508,0.089999974,0.0017320508,0.0029999912,0.0014142137,-0.10500002,0.0014142137,1.1887378583333597,0.09429541202041274,15.44322,2014684.0,413.96625,1.0
2M19220320+3732313,4893.01,8.55,2.936,0.014,-0.196,0.002,-0.003000006,0.0053851646,-0.16000001,0.0053851646,0.19,0.006,0.155,0.0028284274,0.004999995,0.0053851646,0.025999993,0.0053851646,0.122999996,0.0028284274,0.11799999,0.0028284274,0.3363038001429002,0.06838970729642548,2.169221,2156155.0,116.2879,1.0
2M19270967+3731187,4836.779,6.043,3.109,0.009,-0.327,0.002,0.11299999,0.0041231057,0.037999988,0.0046904157,0.041999996,0.0053851646,0.274,0.0022360682,0.095999986,0.0041231057,0.16,0.0041231057,-0.546,0.0028284274,-0.062000006,0.0028284274,0.8727197902865851,0.04142931799505644,7.459673,2161831.0,178.92813,1.0
2M19301164+3735592,4016.073,1.195,1.946,0.005,0.271,0.001,-0.004000008,,0.067,,0.208,0.00244949,0.103000015,0.0014142137,-0.06999999,,0.0150000155,,-0.242,0.0014142137,0.19100001,0.0014142137,1.1868047577497531,0.11280172294643064,15.374633,2165371.0,171.96375,1.0
2M19040434+3737566,4570.718,1.272,2.899,0.002,0.127,0.001,-0.0040000007,0.0017320508,0.045,0.0017320508,0.305,0.0017320508,0.14199999,0.0014142137,0.0029999912,0.0017320508,0.0029999912,0.0017320508,-0.396,0.0014142137,0.009000003,0.0014142137,0.6076507869196366,0.05498450341533529,4.051826,2283075.0,408.3884,1.0
2M19060736+3740100,4795.093,3.197,3.233,0.005,-0.492,0.002,0.30200002,0.0034641016,0.104,0.00489898,-0.022999972,0.0057445625,0.37300003,0.0022360682,0.208,0.0034641016,0.31300002,0.0034641016,-0.326,0.0028284274,0.069000006,0.0022360682,1.0308465884747255,0.031040942480197665,10.736101,2284679.0,297.2308,1.0
2M19233375+3740096,4284.755,0.465,2.161,0.002,-0.245,0.001,0.053000003,0.0017320508,0.05700001,0.0017320508,0.223,0.0017320508,0.172,0.0014142137,0.012000009,0.0017320508,0.061000004,0.0017320508,-0.055000007,0.0014142137,-0.09099999,0.0014142137,0.8477382640247094,0.11272739855621004,7.042685,2300503.0,680.5858,1.0
2M19262054+3740556,4341.788,2.152,2.135,0.011,-0.387,0.002,0.25800002,0.0037416574,0.092999995,0.0037416574,0.152,0.0046904157,0.422,0.0022360682,0.109999985,0.0037416574,0.225,0.0037416574,-0.169,0.0028284274,0.482,0.0022360682,1.1320409819315604,0.14310744980300086,13.553173,2303610.0,151.01353,1.0
2M19033301+3743183,4407.587,0.932,2.508,0.003,-0.005,0.001,0.047,0.0017320508,0.024999999,0.0017320508,0.232,0.0017320508,0.169,0.0014142137,0.011,0.0017320508,0.017,0.0017320508,-0.236,0.0014142137,-0.105,0.0014142137,0.988754256298934,0.09692123176779538,9.744381,2422073.0,397.07028,1.0
2M19311366+3745510,4796.62,7.73,3.01,0.012,-0.056,0.002,-0.0019999966,0.00489898,-0.07,0.00489898,0.334,0.0053851646,0.21700001,0.0028284274,0.038000003,0.00489898,0.034,0.00489898,0.1,0.0028284274,0.18200001,0.0028284274,0.2127715109614689,0.052359024854560704,1.632193,2449558.0,122.66767,1.0
2M19315457+3747319,4882.764,3.689,3.021,0.006,-0.569,0.002,0.296,0.0034641016,0.085999995,0.0057445625,-0.013000011,0.0066332496,0.397,0.0022360682,0.23300001,0.0034641016,0.379,0.0034641016,-1.131,0.0028284274,0.25,0.0022360682,0.6950693388457364,0.04053892699435256,4.955293,2450318.0,340.73956,1.0
2M19055078+3751298,4295.306,1.172,2.241,0.006,-0.259,0.001,0.193,0.00244949,0.098000005,0.00244949,0.178,0.003,0.30400002,0.0014142137,0.128,0.00244949,0.185,0.00244949,-0.09900001,0.0014142137,0.206,0.0014142137,1.1996250064907643,0.08418445303708742,15.835253,2556252.0,242.63858,1.0
2M19080792+3758059,4166.615,0.342,2.106,0.002,0.002,0.001,0.015000001,,0.032,0.0017320508,0.236,0.0017320508,0.144,0.0014142137,-0.018000001,,0.043,0.0017320508,-0.088,0.0014142137,0.012999999,0.0014142137,0.9190645400838036,0.10879366551939006,8.299741,2696628.0,642.33826,1.0
